Ticker,Q1_NetIncome,Q2_NetIncome,Q3_NetIncome,Q4_NetIncome,Q5_NetIncome,Q6_NetIncome,Q7_NetIncome,Q8_NetIncome,Month1_Volume,Month2_Volume,Month3_Volume,Month4_Volume,Month5_Volume,Month6_Volume,Month7_Volume,Month8_Volume,Month9_Volume,Month10_Volume,Month11_Volume,Month12_Volume,OldestDataDate
XOM,7880000000,11430000000,12750000000,19660000000,17850000000,5480000000,8870000000,6750000000,,,,,,,,,,,,,1999-12-31
XRAY,86000000,-19000000,-15000000,-1077000000,73000000,69000000,119000000,84000000,,,,,,,,,,,,,1999-12-31
XYL,92000000,99000000,149000000,12000000,112000000,82000000,113000000,114000000,,,,,,,,,,,,,
YUM,418000000,300000000,371000000,331000000,224000000,399000000,330000000,528000000,,,,,,,,,,,,,1999-12-31
ZBH,209600000,232500000,-130500000,194000000,153700000,14200000,-84000000,145600000,,,,,,,,,,,,,2001-08-31
ZBRA,144000000,150000000,186000000,170000000,-98000000,205000000,191000000,199000000,,,,,,,,,,,,,
ZION,,,,,,,,,,,,,,,,,,,,,
ZTS,671000000,552000000,461000000,529000000,529000000,595000000,414000000,552000000,,,,,,,,,,,,,2013-03-28
