Market Cap,Outstanding Shares,Q1_NetIncome,Q2_NetIncome,Q3_NetIncome,Q4_NetIncome,Q5_NetIncome,Q6_NetIncome,Q7_NetIncome,Q8_NetIncome,Month1_Volume,Month2_Volume,Month3_Volume,Month4_Volume,Month5_Volume,Month6_Volume,Month7_Volume,Month8_Volume,Month9_Volume,Month10_Volume,Month11_Volume,Month12_Volume,Month13_Volume,Month14_Volume,Month15_Volume,Month16_Volume,Month17_Volume,Month18_Volume,Month19_Volume,Month20_Volume,Month21_Volume,Month22_Volume,Month23_Volume,Month24_Volume,Underaged,Oustanding Shares,MarketCap_Q8NetIncome,MarketCap_Q7NetIncome,MarketCap_duplicate,Q1_NetIncome_duplicate,Q2_NetIncome_duplicate,Q3_NetIncome_duplicate,Q4_NetIncome_duplicate
19064269000,49228600,300102000,347051000,340751000,274585000.0,295677000.0,331395000.0,289366000.0,215289000.0,10993178.0,13662775.0,20801496.0,13302915.0,21654220.0,28352946.0,9820632.0,16914706.0,9208670.0,10251772.0,15463273.0,13654402.0,16414737.0,18158142.0,22892033.0,13826664.0,17828595.0,21834907.0,12554394.0,17497647.0,12517503.0,14217574.0,19529544.0,12031005.0,0,,4.104327408741e+18,5.516551263454e+18,19064269000,300102000,347051000,340751000,274585000.0
8674063000,74880000,319200000,232600000,322200000,237900000.0,177700000.0,151800000.0,282100000.0,181300000.0,8261461.0,13930298.0,12289343.0,10670707.0,13446707.0,15610884.0,9777898.0,15016822.0,16879817.0,10799729.0,13592892.0,12250727.0,12400664.0,12848421.0,10882222.0,14019983.0,12478062.0,16749793.0,15182882.0,23416068.0,15587638.0,11898325.0,12977300.0,12829869.0,0,,1.5726076219e+18,2.4469531723e+18,8674063000,319200000,232600000,322200000,237900000.0
6394085000,29056100,50000000,49196000,36264000,43802000.0,37400000.0,31468000.0,546000.0,-1352000.0,2238735.0,9483409.0,3181374.0,2987117.0,8364332.0,3655660.0,2630682.0,4118371.0,3467610.0,3177152.0,2655133.0,2815483.0,2354446.0,3893090.0,3689208.0,2791999.0,3669562.0,2878842.0,2919007.0,2900882.0,3244289.0,3247836.0,2900688.0,3030974.0,0,,-8644802920000000.0,3491170410000000.0,6394085000,50000000,49196000,36264000,43802000.0
32517237000,504926000,733736000,429604000,141216000,465568000.0,509989000.0,303325000.0,167441000.0,378013000.0,34237496.0,49562955.0,55921163.0,48428364.0,50464858.0,61219365.0,41151330.0,51499127.0,44018900.0,52026544.0,44413104.0,53338831.0,58473877.0,43935580.0,48129506.0,47900213.0,43552721.0,56683129.0,47201990.0,59778653.0,51990325.0,52387323.0,62045213.0,51495742.0,0,,1.2291938310081e+19,5.444718680517e+18,32517237000,733736000,429604000,141216000,465568000.0
1754545258000,5801000000,18368000000,15051000000,13624000000,13910000000.0,16002000000.0,16436000000.0,20642000000.0,18936000000.0,245432221.0,389661374.0,463648503.0,525559527.0,521483047.0,620306000.0,461168243.0,725590594.0,754465909.0,526177891.0,498585560.0,603456198.0,584705310.0,532842467.0,430922710.0,339525726.0,31358279.0,35869499.0,28022017.0,31811236.0,36609705.0,30699124.0,23950206.0,22120136.0,0,,3.3224069005488e+22,3.6217323215636e+22,1754545258000,18368000000,15051000000,13624000000,13910000000.0
106616111000,1455510000,1327000000,1426000000,1422000000,1387000000.0,1304000000.0,1084000000.0,686000000.0,1393000000.0,110597185.0,212357646.0,126852835.0,165753942.0,100519406.0,87674793.0,75707212.0,112697723.0,81308415.0,103809638.0,83644108.0,89488262.0,107046685.0,120968055.0,90898736.0,89789656.0,95275642.0,119810294.0,102357457.0,161941563.0,133340528.0,122371553.0,107095917.0,99973527.0,0,,1.48516242623e+20,7.3138652146e+19,106616111000,1327000000,1426000000,1422000000,1387000000.0
2796176802000,15634200000,19881000000,24160000000,29998000000,20721000000.0,19442000000.0,25010000000.0,34630000000.0,20551000000.0,667243826.0,1337873796.0,1323817340.0,996368613.0,1297863403.0,1275052503.0,967580718.0,1520461315.0,1307294493.0,1443652725.0,1675731304.0,1724948219.0,1868381344.0,2083968147.0,1509735435.0,1447364668.0,1749297959.0,2400305601.0,1683547838.0,2171827429.0,1628570227.0,2106513962.0,2443227128.0,1688864233.0,0,,5.7464229457902e+22,9.683160265326e+22,2796176802000,19881000000,24160000000,29998000000,20721000000.0
12399127000,418183000,569000000,601000000,577000000,703000000.0,804000000.0,932000000.0,813000000.0,1141000000.0,50904436.0,74501505.0,69509287.0,87216577.0,111982999.0,159488138.0,101119764.0,142130474.0,90103122.0,129972451.0,108334340.0,94302106.0,139948847.0,99147120.0,88873596.0,127875250.0,149648345.0,150660390.0,127691202.0,189161191.0,122054897.0,127601799.0,118064501.0,95857579.0,0,,1.4147403907e+19,1.0080490251e+19,12399127000,569000000,601000000,577000000,703000000.0
41359856000,1375910000,2566000000,2395000000,1999000000,3305000000.0,1692000000.0,2939000000.0,1741000000.0,2420000000.0,193806380.0,233855241.0,279995614.0,279523067.0,291852692.0,302752335.0,271539178.0,336059110.0,297975796.0,327651541.0,254856353.0,285044748.0,317696098.0,332686323.0,317584002.0,292487788.0,323818190.0,397146805.0,361094500.0,400938692.0,383817976.0,469659225.0,380175189.0,399118101.0,0,,1.0009085152e+20,7.2007509296e+19,41359856000,2566000000,2395000000,1999000000,3305000000.0
64896688000,257149000,793700000,477400000,386300000,685100000.0,577900000.0,370800000.0,304000000.0,502200000.0,16662476.0,25184246.0,30283651.0,31155355.0,28428333.0,30255534.0,27369220.0,33685050.0,31328138.0,34907969.0,24465104.0,35060120.0,33494685.0,30319398.0,34589561.0,35556453.0,36277828.0,40324244.0,36665115.0,36144628.0,27403275.0,39946671.0,22881766.0,23972631.0,0,,3.25911167136e+19,1.9728593152e+19,64896688000,793700000,477400000,386300000,685100000.0
26900000000,482460000,231000000,207000000,100000000,227000000.0,249000000.0,151000000.0,259000000.0,236000000.0,,,,,,,,,,,,,,,,,,,,,,,,,0,,6.3484e+18,6.9671e+18,26900000000,231000000,207000000,100000000,227000000.0
123329159000,1116000000,1803000000,1704000000,2235000000,2873000000.0,3730000000.0,2934000000.0,3399000000.0,2798000000.0,83231655.0,165396269.0,190540131.0,163276141.0,176555429.0,221680102.0,108899515.0,169566040.0,142248014.0,169127022.0,157125333.0,196725997.0,164712829.0,166082156.0,141857903.0,175172292.0,212654246.0,217840804.0,249563225.0,242240794.0,241754236.0,208517243.0,190560341.0,321182899.0,0,,3.45074986882e+20,4.19195811441e+20,123329159000,1803000000,1704000000,2235000000,2873000000.0
114413052000,577115000,2673000000,2260000000,958000000,154000000.0,2992000000.0,2333000000.0,1207000000.0,1896000000.0,30133302.0,60014506.0,52934502.0,42572865.0,67239364.0,65371863.0,50317329.0,79985625.0,52881671.0,59170910.0,64790354.0,75839873.0,74186698.0,83702336.0,85785051.0,63097594.0,83503143.0,92945505.0,82898203.0,101706087.0,69439334.0,83717050.0,75575597.0,67066844.0,0,,2.16927146592e+20,1.38096553764e+20,114413052000,2673000000,2260000000,958000000,154000000.0
10855365000,181057000,86782000,97281000,95263000,87578000.0,104796000.0,195228000.0,67859000.0,117406000.0,13915895.0,18427236.0,28641338.0,16756336.0,20095038.0,20547725.0,11884728.0,23759527.0,16814932.0,19690447.0,21728277.0,17345725.0,22891157.0,21397363.0,18876259.0,13623241.0,21026437.0,24380041.0,15088547.0,23567899.0,21522275.0,19181466.0,18327444.0,18544262.0,0,,1.27448498319e+18,7.36634213535e+17,10855365000,86782000,97281000,95263000,87578000.0
8671768000,113312000,106663000,-3297000,-23992000,326326000.0,164312000.0,16956000.0,27584000.0,339798000.0,10161663.0,13744361.0,20397727.0,15428676.0,17448946.0,13653229.0,13753986.0,24613154.0,17644565.0,18182211.0,20783215.0,18185650.0,18699034.0,14875047.0,19196585.0,14627002.0,17689877.0,15549691.0,12873384.0,18650026.0,15503820.0,19800491.0,21735771.0,35471018.0,0,,2.946649422864e+18,2.39202048512e+17,8671768000,106663000,-3297000,-23992000,326326000.0
8067977000,134916000,-351000000,86000000,93000000,74000000.0,94000000.0,-71000000.0,70000000.0,57000000.0,22435566.0,28499842.0,20200997.0,22105179.0,39547233.0,26107643.0,19750730.0,23197871.0,19734637.0,21154040.0,18201547.0,19579731.0,29309628.0,30220719.0,25468869.0,22162863.0,48613550.0,28203118.0,34586331.0,44200684.0,29408833.0,22569629.0,24471425.0,20833417.0,0,,4.59874689e+17,5.6475839e+17,8067977000,-351000000,86000000,93000000,74000000.0
2783994000,151774000,22621000,22196000,24118000,80639000.0,34052000.0,27984000.0,167305000.0,54018000.0,24601016.0,32898695.0,34182574.0,26240822.0,30324285.0,33463827.0,34089468.0,56926409.0,22869289.0,23406235.0,28102133.0,24829819.0,30404937.0,23265307.0,18026019.0,19243610.0,20186328.0,14023298.0,15733309.0,18895955.0,22152056.0,16037497.0,17548935.0,13789016.0,0,,1.50385787892e+17,4.6577611617e+17,2783994000,22621000,22196000,24118000,80639000.0
15065788000,127687000,297000000,394000000,232000000,401000000.0,858000000.0,756000000.0,644000000.0,607000000.0,6414179.0,10355212.0,10493205.0,9277007.0,11307091.0,10869576.0,8049154.0,12308313.0,10680732.0,11137972.0,10595156.0,17613360.0,25109240.0,17142088.0,16815712.0,13481995.0,19884144.0,21467256.0,14896260.0,15144350.0,12087450.0,13086886.0,10634304.0,12910106.0,0,,9.144933316e+18,9.702367472e+18,15065788000,297000000,394000000,232000000,401000000.0
4523408000,60425000,94200000,136000000,138700000,-186700000.0,115300000.0,133100000.0,390800000.0,279700000.0,11598798.0,15011055.0,19955731.0,16093755.0,24395962.0,19310586.0,15684718.0,29094967.0,17265715.0,19883368.0,24508052.0,21314007.0,22102733.0,46694574.0,25012242.0,21793029.0,32374734.0,38345495.0,32389408.0,43101320.0,20747176.0,26027234.0,22820066.0,16070324.0,0,,1.2651972176e+18,1.7677478464e+18,4523408000,94200000,136000000,138700000,-186700000.0
30622493000,387872000,115900000,48600000,91800000,101200000.0,50900000.0,97300000.0,-5300000.0,87300000.0,77913242.0,95263554.0,90470682.0,56813208.0,58640420.0,56160941.0,39021410.0,52157074.0,51808357.0,50519323.0,52296848.0,55354823.0,73576930.0,49032165.0,61627984.0,51991034.0,49516656.0,25489521.0,13274751.0,18993536.0,15947554.0,20084695.0,18223917.0,14039090.0,0,,2.6733436389e+18,-1.622992129e+17,30622493000,115900000,48600000,91800000,101200000.0
11303728000,155613000,3100000,9900000,-5200000,-21000000.0,-19800000.0,-27400000.0,-9500000.0,-20900000.0,14050517.0,22587509.0,32897288.0,22940492.0,26194082.0,40180927.0,20649070.0,23018486.0,30829728.0,19326598.0,31345459.0,46983247.0,25843107.0,25492710.0,29053722.0,26389460.0,36787344.0,48952407.0,33242261.0,35443785.0,39832703.0,32300299.0,23498824.0,20615636.0,0,,-2.362479152e+17,-1.07385416e+17,11303728000,3100000,9900000,-5200000,-21000000.0
4034848000,1160800,52000000,-16000000,108000000,104000000.0,-28000000.0,94000000.0,176000000.0,179000000.0,23150.0,40386.0,23295.0,19989.0,23691.0,17904.0,17724.0,33901.0,14374.0,12671.0,15167.0,10459.0,13868.0,16739.0,12026.0,12674.0,19561.0,17892.0,15177.0,23130.0,17887.0,20540.0,19741.0,14553.0,0,,7.22237792e+17,7.10133248e+17,4034848000,52000000,-16000000,108000000,104000000.0
5111354000,97956000,114649000,148319000,97203000,122229000.0,131672000.0,115333000.0,65157000.0,111140000.0,6380181.0,8194962.0,10029181.0,15056647.0,12522246.0,10789290.0,7015413.0,11950605.0,8627157.0,8403220.0,8275018.0,10660696.0,11970520.0,11152086.0,11089909.0,9523511.0,10646851.0,11335724.0,12864673.0,15694274.0,12460670.0,10767003.0,17769164.0,9164359.0,0,,5.6807588356e+17,3.33040492578e+17,5111354000,114649000,148319000,97203000,122229000.0
7870631000,40703600,-299000000,-1118000000,21000000,231000000.0,419000000.0,433000000.0,2058000000.0,538000000.0,910201.0,1429323.0,1595961.0,1368488.0,1229282.0,2545851.0,702401.0,881343.0,1278766.0,1507880.0,2482486.0,2046139.0,1451857.0,1521947.0,1069923.0,729643.0,1273828.0,1324182.0,1356764.0,2332860.0,2406809.0,2101219.0,2476328.0,1525239.0,0,,4.234399478e+18,1.6197758598e+19,7870631000,-299000000,-1118000000,21000000,231000000.0
103645274000,329671000,1216000000,3234000000,1326000000,3069000000.0,2927000000.0,3939000000.0,3935000000.0,5378000000.0,26806205.0,34255227.0,39258345.0,53395877.0,54501363.0,39783863.0,41785952.0,71667289.0,43627605.0,72603405.0,42482471.0,54130177.0,50064639.0,40867278.0,41440506.0,53587546.0,55861357.0,50820062.0,60210639.0,67748425.0,55105997.0,85701388.0,54077756.0,50659904.0,0,,5.57404283572e+20,4.0784415319e+20,103645274000,1216000000,3234000000,1326000000,3069000000.0
