Ticker,Q9_NetIncome,Q10_NetIncome,Q11_NetIncome,Q12_NetIncome,Q13_NetIncome,Q14_NetIncome,Q15_NetIncome,Q16_NetIncome
AMED,80149000,49870000,45100000,71981000,34674000,31802000,27700000,45006000
AMG,109000000,149900000,115900000,71300000,30700000,-15600000,22500000,86300000
AMG,149900000,115900000,71300000,30700000,-15600000,22500000,86300000,109000000
AMGN,464000000,1646000000,1615000000,2021000000,1803000000,1825000000,1703000000,1968000000
AMGN,1646000000,1615000000,2021000000,1803000000,1825000000,1703000000,1968000000,464000000
AMH,51814000,48921000,30887000,40153000,31807000,37527000,37372000,37302000
AMH,48921000,30887000,40153000,31807000,37527000,37372000,37302000,51814000
AMP,356000000,1435000000,177000000,-140000000,-539000000,2036000000,463000000,543000000
AMP,1435000000,177000000,-140000000,-539000000,2036000000,463000000,543000000,356000000
AMT,746300000,645000000,365100000,464400000,446100000,415000000,562700000,498600000
AMT,645000000,365100000,464400000,446100000,415000000,562700000,498600000,746300000
AMZN,7778000000,8107000000,7222000000,6331000000,5243000000,2535000000,3268000000,2134000000
AMZN,8107000000,7222000000,6331000000,5243000000,2535000000,3268000000,2134000000,7778000000
AN,384800000,239400000,151500000,182600000,279800000,-232300000,157700000,99500000
AN,239400000,151500000,182600000,279800000,-232300000,157700000,99500000,384800000
ANET,196888000,180366000,182958000,168375000,144793000,138431000,260692000,208895000
ANET,180366000,182958000,168375000,144793000,138431000,260692000,208895000,196888000
ANSS,93716000,72398000,215632000,75627000,96564000,46064000,165852000,89463000
ANSS,72398000,215632000,75627000,96564000,46064000,165852000,89463000,93716000
AON,379000000,913000000,524000000,275000000,398000000,772000000,374000000,222000000
AON,913000000,524000000,275000000,398000000,772000000,374000000,222000000,379000000
AOS,118200000,97700000,120000000,105400000,67800000,51700000,91300000,87300000
AOS,97700000,120000000,105400000,67800000,51700000,91300000,87300000,118200000
APA,339000000,397000000,10000000,-4000000,-386000000,-4480000000,-3118000000,-117000000
APA,397000000,10000000,-4000000,-386000000,-4480000000,-3118000000,-117000000,339000000
APD,533600000,473100000,482000000,486800000,446500000,477800000,475600000,503200000
APD,473100000,482000000,486800000,446500000,477800000,475600000,503200000,533600000
APH,369800000,329600000,357000000,346600000,257700000,242100000,318700000,280300000
APH,329600000,357000000,346600000,257700000,242100000,318700000,280300000,369800000
APLS,-219191000,-183659000,78265000,-135700000,-118617000,-168822000,-113218000,-69825000
APLS,-183659000,78265000,-135700000,-118617000,-168822000,-113218000,-69825000,-219191000
APO,658000000,679000000,,,,,,
APO,679000000,,,,,,,658000000
APP,14423000,-10521000,-18772000,-89688000,-21391000,4664000,,
APP,-10521000,-18772000,-89688000,-21391000,4664000,,,14423000
APTV,163000000,295000000,299000000,299000000,-366000000,1572000000,230000000,246000000
APTV,295000000,299000000,299000000,-366000000,1572000000,230000000,246000000,163000000
AR,-523467000,-15499000,69830000,-535613000,-463304000,-338810000,-482196000,-878864000
