Ticker,Market Cap,Exchange,Outstanding Shares,Q1_NetIncome,Q2_NetIncome,Q3_NetIncome,Q4_NetIncome,Q5_NetIncome,Q6_NetIncome,Q7_NetIncome,Q8_NetIncome,Month1_Volume,Month2_Volume,Month3_Volume,Month4_Volume,Month5_Volume,Month6_Volume,Month7_Volume,Month8_Volume,Month9_Volume,Month10_Volume,Month11_Volume,Month12_Volume,Month13_Volume,Month14_Volume,Month15_Volume,Month16_Volume,Month17_Volume,Month18_Volume,Month19_Volume,Month20_Volume,Month21_Volume,Month22_Volume,Month23_Volume,Month24_Volume
WING,5440934000,NASDAQ,29977600,16181000,15669000,17596000,13368000,13307000,8676000,6896000,11290000,8248856,14150991,13756049,9774352,14548092,13185396,10643174,13266179,15552850,9836408,10662142,9539502,22407880,15524741,14204571,20200894,15192834,17956110,10227965,13114559,10282696,7608409,6588446,9625940
WLK,15065788000,NYSE,127687000,297000000,394000000,232000000,401000000,858000000,756000000,644000000,607000000,,,,,,,,,,,,,,,,,,,,,,,,
WMS,8672668000,NYSE,78692000,173652000,85893000,82040000,152007000,187146000,46307000,73678000,75359000,8384741,13048316,14304853,12353476,14997560,12969012,11584534,35567991,19730257,13982400,15323055,25452103,12650661,14385050,17573416,11682011,15852063,9993709,6666971,10783835,9711826,6935416,7903600,8409652
WOLF,4074643000,NYSE,125258000,-113300000,-99500000,-90900000,-26200000,32400000,-66500000,-96700000,-70100000,54781851,55382172,69565889,61214336,54195373,78767300,57910527,56286264,34351086,53069868,45043621,66397625,66964955,51016184,59962217,29540924,33250788,46408357,32605654,41669467,34190562,42222408,28745524,38829805
WOOF,846137000,NASDAQ,229974000,-14606000,-1892000,32732000,19920000,13456000,24693000,28994000,52752000,,,,,,,,,,,,,,,,,,,,,,,,
WPC,11449319000,NYSE,213926000,144620000,294380000,209538000,104928000,127678000,156995000,99562000,138547000,27242455,38631136,21500284,21588941,24205457,20335906,22199051,23364842,17622887,14093042,24568499,21470769,22296446,23425454,21633011,15213837,29774619,22464105,18900743,20897629,18025469,17248735,18541705,15614988
WSC,8274971000,NASDAQ,197305000,87729000,210884000,86400000,128593000,73376000,51171000,74223000,61103000,20176744,34598752,47657103,26489250,39577717,36381594,59186745,53831747,33607001,26056072,31405227,37775561,40509034,36397927,43607355,33746960,76437812,56324289,46607224,38622248,31014618,32185930,35227156,50203971
WSM,10284368000,NYSE,64145000,201507000,156531000,354993000,251723000,267075000,254113000,402941000,249524000,,,,,,,,,,,,,,,,,,,,,,,,
WSO,13940966000,NYSE,33817800,172764000,110073000,137671000,157641000,192557000,113298000,78886000,140865000,6864247,6761409,5824596,6038656,7679599,8616197,7481183,6553990,7031546,4856154,5268789,5739719,7985221,5400642,5189161,6242860,5997650,6057594,6202636,4741239,3723621,2628464,3141493,1981934
WTFC,4733693000,NASDAQ,61212000,154750000,180198000,144817000,142961000,94513000,127391000,98757000,109137000,6856682,7410352,6197377,10552520,11293704,11061047,10216468,20169346,7108016,9505083,9172569,8232985,10609969,7771958,6750867,9007600,14335381,7172375,8511375,10561617,8695703,9590707,6813774,5826815
