Ticker,Month1_Volume,Month2_Volume,Month3_Volume,Month4_Volume,Month5_Volume,Month6_Volume,Month7_Volume,Month8_Volume,Month9_Volume,Month10_Volume,Month11_Volume,Month12_Volume,Month13_Volume,Month14_Volume,Month15_Volume,Month16_Volume,Month17_Volume,Month18_Volume,Month19_Volume,Month20_Volume,Month21_Volume,Month22_Volume,Month23_Volume,Month24_Volume
MAR,20377347,37412296,48811638,42182873,37760446,37017811,30386456,44127732,34430137,36575030,40874179,42647165,40397256,45605453,38444192,41007732,52229143,60233626,46290533,56770380,54742970,43403631,44797300,47237538
MAS,21132010,33105022,29952618,41601846,40007161,32738162,43294636,44563348,41343215,30754330,34475147,39840733,39992794,42931647,35720839,36398139,53454804,48261932,48260005,60174929,45667504,49556721,36889304,32338689
MCD,44551641,50648692,51988692,46831888,53054939,51674802,50687451,61784423,54147768,54161409,53149195,68990852,68888666,59795574,48193462,48681482,60829748,65018099,52050344,91733068,58059134,64352665,58794785,51037339
MCHP,51799236,78269616,112495847,99728585,105594373,120955488,75856677,113336267,101755389,86500604,87622722,115302742,111022626,97006911,107900959,78659248,110241754,119032314,93504241,125049922,110359899,90983783,85902421,91736202
MCK,9257149,15004222,20178308,13795338,15716326,24444144,16811987,23217261,19697841,18238986,22476883,25701746,17666075,21658042,22759650,17279756,25975444,26044560,21640259,32566090,23411117,19319399,22597661,21656080
MCO,7598680,11487655,12793875,16856765,15629497,17662780,12790758,19126125,14834594,20073732,13530703,16790265,19232157,15648131,12738684,17211373,20328350,26042338,17044250,22987840,22298154,16521723,12701658,13826511
MDLZ,107331577,121112251,114730235,146321644,128902189,130427536,109138614,155013750,107488576,114258916,124049848,127218512,156397767,161452390,119791528,136322348,153988901,196370952,152640066,210617057,138892880,190537089,154038809,132010371
MDT,97991122,106809391,111631724,85937032,116375341,126329581,123208680,140527954,112689675,139750735,158853901,176161470,114795065,139911869,114732172,98111707,137053252,119889533,108514603,150543362,130333520,142997897,189340226,125475901
MET,42818943,79062169,77966006,75401143,115967121,155910019,85686878,162934262,79106447,72792625,73411386,86346680,91225215,101291883,86449703,84600196,92317246,108430595,66278670,117441168,94038350,93270091,96158655,107995331
META,246686274,406801410,424632813,625339455,481179600,487059059,439810216,690450690,772199855,548770812,653019661,1063814422,1114165581,634744508,551637733,586548218,686376324,680370106,671047219,730939429,1127891130,426742200,437947523,440274313
MGM,62561251,103334674,117529351,84507620,87051817,107688779,73460197,105538278,82155513,76026770,87323197,114277233,107593466,129279517,104721885,82886948,135856462,157066280,83192811,119024486,110657589,103397044,137415579,120897849
MHK,9708051,15146050,11495393,18738479,13461435,12103646,11705026,11919249,11658827,12679533,12409180,10675261,13849621,15560214,11975313,11907425,11556584,14069034,13621436,21275753,14627891,10427125,12774719,12569093
MKC,50501603,23840343,22868697,27091673,37187461,31286132,24709266,43384538,22633261,26565104,20164720,28707828,30069575,30159679,20452301,23461466,27268126,28377550,22282899,34020146,29587777,35967857,34458624,27812658
MKTX,6240366,10583625,7849390,7882029,8345526,6740100,7336453,8773643,5691031,7761173,7067077,7319166,7435389,8453255,7049438,6905659,6071824,7866408,11333984,6899148,5138931,5869462,5963751,5365920
MLM,4925774,8447303,8565119,8329878,8233357,8213990,5578381,9199322,7969925,6754196,7547682,7814470,7745482,8948538,8842263,8527092,9482077,11928870,7329940,9277708,10548155,10719116,6721295,6931388
MMC,21073518,26364208,28968084,32368243,34739742,36108708,35247596,40297154,31281278,30870257,32087053,35371552,38322062,31609388,32789135,41760314,39580768,37489088,45238457,48067844,38346637,54542674,33182159,36426701
MMM,49778238,75259716,73381693,78753003,95076103,67538743,61832938,90561276,55810270,76990932,59161756,52507707,72890378,239748874,304628359,67100466,63798266,61787866,53629997,82702137,76132679,62309642,48251474,47872133
MNST,82540663,96819017,96803027,92634214,85725550,106465770,66969028,58220369,35310263,40587564,36294206,55676910,54343102,52339412,61405204,53562839,61504756,68777077,61525606,65127525,63203607,50948149,47480321,49979693
MO,96061280,173866820,167776306,131880637,168043028,146552554,139569171,236098532,140440007,151023055,162847047,159056466,201144513,220537273,141065469,171871981,353163384,238562643,159114321,235680855,156256754,205859849,187135253,150832237
MOH,4391350,6676517,7363488,12276304,10456554,9443419,11058709,11480104,10028786,11024595,10083852,11775469,10786269,9954920,8236429,7615021,9981828,8782734,7315584,23984689,8456218,6250964,5261174,4378273
MOS,45161923,84561460,71647583,76848776,95115383,99554221,76441547,106950921,81831762,80733598,75441169,89263358,83883433,116742264,107908955,108561148,175654487,180645537,178300981,299823672,154521173,100120588,88172993,146548226
