Ticker,Market Cap,Exchange,Outstanding Shares,Q1_NetIncome,Q2_NetIncome,Q3_NetIncome,Q4_NetIncome,Q5_NetIncome,Q6_NetIncome,Q7_NetIncome,Q8_NetIncome,Month10_Volume,Month11_Volume,Month12_Volume,Month13_Volume,Month14_Volume,Month15_Volume,Month16_Volume,Month17_Volume,Month18_Volume,Month19_Volume,Month1_Volume,Month20_Volume,Month21_Volume,Month22_Volume,Month23_Volume,Month24_Volume,Month2_Volume,Month3_Volume,Month4_Volume,Month5_Volume,Month6_Volume,Month7_Volume,Month8_Volume,Month9_Volume
DDOG,28619411000,NASDAQ,299067000,-3969000,-24086000,-29034000,-25985000,-4879000,9738000,7169000,-5484000,96667359,83186166,110340267,89795634,87928040,98585514,95292521,120359497,145609604,71051456,49758052,100249985,101164014,92948766,87439297,71540101,63420794,123977030,80650264,86390768,129413011,90243080,125435467,108169051
DECK,13299325000,NYSE,26134500,63552000,91787000,278662000,101524000,44849000,68819000,232943000,102063000,7187778,6915306,10027777,9447797,7418131,6787197,9340773,7464657,11457240,7086041,4559362,11806546,9504839,6612420,7262736,8140672,6839687,7729467,7677547,8484970,12747360,6001088,8281083,8396312
DINO,10263328000,NYSE,181039000,507661000,353266000,587027000,954405000,1221262000,159974000,-39530000,280787000,,,,,,,,,,,,,,,,,,,,,,,,
DISH,2696062000,NASDAQ,295438000,200323000,222705000,954469000,412230000,522832000,432651000,565412000,557042000,91158644,101955736,89066881,97575916,93723743,76927064,55968868,100056392,136909219,46417426,112256968,49915077,58638670,67119316,58871584,66272576,156013606,209702348,219324642,376696207,284466800,152763749,204461507,100608536
DKNG,13246487000,NASDAQ,463975000,-77270000,-397148000,-242697000,-450494000,-217103000,-467693000,-326297000,-545028000,,,,,,,,,,,,,,,,,,,,,,,,
DKS,9251364000,NYSE,61452000,244331000,304649000,235621000,228456000,318502000,260559000,346093000,316513000,21841822,32706647,42176335,29683070,36969062,35795143,28775395,39955028,94732966,28181538,17600550,42160607,25915823,45263290,52804197,50573302,33512728,58789365,18850759,25588464,41441595,23222001,45942308,16984029
DLB,7690509000,NYSE,59556000,16399000,95696000,79375000,27756000,39597000,36720000,80014000,44191000,7138659,8132655,9535697,9046809,9230762,9119482,10054999,9351515,12924214,8450464,4449238,11645652,14324989,9139960,11713504,9230518,6882530,25375402,6479769,6666558,7707093,5158728,8292591,8101351
DNA,3484091000,NYSE,1600990000,-173315000,-204969000,-176544000,-669055000,-668825000,-590505000,-1600656000,-101881000,,,,,,,,,,,,,,,,,,,,,,,,
DNB,4251708000,NYSE,439226000,-19400000,-33700000,22800000,8000000,-1800000,-31300000,-11600000,16600000,41308541,60369425,38782984,34023419,46883722,50549801,63955999,36863315,31382201,26597714,31021384,37464055,44415891,38726301,48176546,58069520,50451133,52408859,48860404,58488624,69051652,43027291,57529189,55957293
DOCS,4205779000,NYSE,125514000,28406000,30668000,33468000,26299000,22383000,36726000,55647000,36088000,,,,,,,,,,,,,,,,,,,,,,,,
DOCU,8244026000,NASDAQ,203205000,7395000,539000,4863000,-29866000,-45078000,-27373000,-30445000,-5676000,84361574,177060137,94524052,97246319,140731771,69258104,70610406,161991250,92696811,78940732,41415167,193597379,65803801,102424229,236915739,36236560,110134250,47817907,50662765,131660591,55411653,59833375,123251256,70595769
DOX,9681576000,NASDAQ,119026000,159428000,149603000,129667000,128936000,128466000,158497000,133602000,123525000,12338979,11859545,12050642,11739662,15755543,12130201,12233275,14750611,16396532,11654133,13466887,13726847,14179150,10621383,12230201,15461863,9944661,13245733,12000597,11726887,15422728,10031192,16130022,14256681
DRVN,1884735000,NASDAQ,167532000,37749000,29749000,27398000,38391000,-57044000,34443000,-38757000,33124000,,,,,,,,,,,,,,,,,,,,,,,,
DT,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTM,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DV,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
