Ticker,Month1_Volume,Month2_Volume,Month3_Volume,Month4_Volume,Month5_Volume,Month6_Volume,Month7_Volume,Month8_Volume,Month9_Volume,Month10_Volume,Month11_Volume,Month12_Volume,Month13_Volume,Month14_Volume,Month15_Volume,Month16_Volume,Month17_Volume,Month18_Volume,Month19_Volume,Month20_Volume,Month21_Volume,Month22_Volume,Month23_Volume,Month24_Volume
TXT,16434804,31981543,25339797,24986353,23516654,28081306,28448683,33943026,25730398,28882788,32208799,23386332,29671433,28930038,20389491,19230810,26269471,29011621,25352606,27581437,25883620,27610209,24308112,23345905
TYL,2471935,4476217,3773042,4261652,5923007,5353584,4663469,6283325,6769096,4918164,5444460,8129179,5911042,3757412,4184051,4419044,5224258,8063723,4449847,4245548,4414081,4020605,3533196,3511391
UAL,128325748,115943287,106185800,146319333,132682563,142619061,162932683,189288552,114143949,231182169,163059591,128375052,237777590,210573990,175274910,234989519,255386972,281781642,293855426,436685286,241580134,245408282,334714270,253137128
UDR,24875982,42319220,49363737,38261174,47051506,45765157,46059169,58940363,49965188,48875570,46741723,48385974,54053342,55255076,39182512,37873275,50528867,39578716,33090599,44791179,35815633,26604017,42747134,34345565
UHS,7034058,10516892,14208637,14395611,14536450,14330332,12623349,16827978,11186631,12183423,15784499,15398604,17385228,14985349,13833926,16485234,22973053,14045606,17199944,14026063,13060123,14393775,14042251,15296644
ULTA,10993178,13662775,20801496,13302915,21654220,28352946,9820632,16914706,9208670,10251772,15463273,13654402,16414737,18158142,22892033,13826664,17828595,21834907,12554394,17497647,12517503,14217574,19529544,12031005
UNH,40139025,60030414,52519924,89701038,92431339,53525087,66256067,72716281,69807542,81009853,53394257,77569978,59745267,54731954,46439244,58397128,84916222,67952080,61044463,73507995,58396877,80582632,64879882,61039911
UNP,28118725,49916638,51628819,64117246,56431991,46351440,52839249,92255816,74392456,56653631,53711645,77612298,69111067,66519123,48447467,48646569,59136061,63479149,79775839,96704955,58716980,67538743,51125865,50821914
UPS,35259031,74539840,72991715,67510294,83406242,66895278,67099454,86005217,51956293,55364422,71807871,60030067,68311739,73657344,50007104,57131484,70718906,80779280,76781791,64991608,77684518,53009444,51433497,51767247
URI,9749795,11735043,15945126,14885894,20342951,19528341,20762876,25448640,13214389,15121699,12974909,15074077,14913988,15409548,14329247,15707496,16670164,18848842,15602448,15297086,12402303,17801519,14401216,12059213
USB,173401585,259215358,235651989,278113062,314439107,416406070,325050237,506212360,102277399,195357934,216278475,196377230,239851773,186892184,126191451,119713962,168148169,153333445,161032018,196258190,135104327,168616974,125239421,88728876
V,73220608,114067011,101039844,113728159,155907795,127679040,118739456,167774878,94455254,127619342,136792052,157870621,160731037,142695269,130178837,118596952,128123527,171858850,151474586,188732371,171668723,224640154,189072557,303787625
VFC,113722608,158580806,149596992,98387047,143908046,165694956,105369680,180350894,255007494,104239216,163844092,114062136,170331514,91853952,56750118,72830604,69459977,85795562,54335986,81908498,61822909,72015493,58319911,45155301
VICI,75072448,97145981,88771740,110902504,107336411,108738127,84903376,170831234,99176148,132034988,122520410,137340480,113022599,131814720,138263794,137256772,564744619,252210536,238758104,204915287,154232199,115679171,121849919,117574567
VLO,47706037,86167536,81383089,68718698,87599296,100200553,89117536,115484517,69582928,74803503,85607974,80419119,83247324,86169642,86534332,81708184,156489474,114965677,88576176,115636636,81108100,82579894,73183429,86609425
VLTO,,,,,,,,,,,,,,,,,,,,,,,,
VMC,9973179,16381930,16953346,16496893,18006587,18272527,13205589,19350118,17097018,12748162,12756253,16498885,14160340,16813834,15173706,12573102,17021237,18422250,13705252,18517282,17102710,19155856,14803040,17684534
VRSK,12484149,14832264,20081501,22078775,28293828,24307096,14395077,30494652,20921791,15727988,16919226,24354635,16821078,14602839,18597797,12980046,18983501,25873379,19585658,34751073,23293561,23093209,21392521,15934662
VRSN,5830587,10019403,8622389,9704171,9886282,10022268,7499325,14049116,12158365,10869535,18803443,13593238,14769134,15739008,11639396,12041260,15448123,21745859,12550600,15109847,11655483,12608140,14500856,13932760
VRTX,15453864,18037650,19996149,23137435,27287358,29684186,19832129,25697445,24508561,29204078,26274093,32628343,31802439,29418395,29780734,29242147,36170718,39651614,34436178,32972797,33464901,38637619,44809774,42152282
VTR,31130928,41630924,59114542,33874063,54053774,51751352,42854353,57222193,37950546,38503545,45643658,53578542,47969234,39941555,43811803,29541022,38170318,48897775,41348799,62045264,45937937,50456763,49488496,55315089
VTRS,132012604,185905068,180945378,161884716,206123275,230834751,161401691,223245002,168065843,191603987,159212811,235691463,186963252,220423348,269214396,235850573,198755380,299753289,219903776,411904305,225983958,194665549,223479229,236534290
VZ,289620484,424593082,468373374,690288987,444549706,413795867,364286178,479118561,307125873,481294164,561037935,425412277,585140196,474806265,416503904,411341416,412243573,476689095,551553318,625190914,391598753,500127443,525929646,396177889
WAB,9846584,14622808,14356758,20136677,23565046,23462513,15721913,21634263,20324677,17875991,17268762,18194022,17868473,18028069,17652460,19040010,18606905,19652363,20392692,31306790,24202937,20229167,15584004,19540592
WAT,4689342,8884910,11769762,11091214,12377110,14982662,7467457,9030474,7119764,6895359,6394154,7331657,7892056,7972685,7881594,6792132,8557145,9720487,8105873,8341264,7155387,8386044,8209260,7551448
WBA,190258170,309970112,176682122,174198769,237989247,163325341,115400409,179214948,110376371,147716745,111970147,141332437,190028130,156053897,150087918,121551423,138088295,158871965,154101958,161885253,121257008,143481339,124511065,130967096
WBD,235256570,468682810,360244538,346873813,582639161,453646286,346915671,357424638,379841744,517576569,726404784,590693154,439530818,487231353,679751166,362538290,484972535,416674672,590256438,168191125,181728654,228606681,136729170,142966971
WDC,41268274,71541355,68646488,71498175,71467236,91915376,79757202,89063406,75640793,114163383,108139911,82323333,121749274,105245404,69117950,61780049,81838890,99510730,84705921,72133488,72185297,104658431,76303086,85759016
WEC,27534982,31737316,28513095,23361554,31973703,32517256,20891906,37547113,23194755,24186736,32352680,31616467,34947864,28645994,23716937,23978895,32324612,35225192,26122553,37776258,34602446,26002564,28496935,24338279
WELL,38251091,47122451,41161563,34846868,62449693,53723252,35822101,62320511,40670337,40834226,65936672,65350541,60880849,56201171,55184035,36619585,54367995,57015308,38961807,49596686,49508263,50501584,48165876,44259974
WFC,210282694,333560861,284191932,340846601,363205157,537678230,449531765,730441628,314578138,398335361,414605391,348906479,383064909,354201803,308688086,377928003,503171527,548091996,519241165,751147210,569117477,741301199,518882763,496733782
WHR,8315132,9823462,14287855,17018574,13961180,14606006,17252957,18787822,14629377,13628360,13684996,14640680,21066279,15659642,16607871,19077007,21548867,22219642,27727147,27641444,14067735,16855568,12404812,11042325
WM,17896891,28375838,28493214,31272464,29169065,29779231,33894906,45673612,36162143,33028660,31765919,36576449,38422796,40497497,32972537,27604069,33488934,42232197,35764408,43484936,41656434,45450053,34866208,32435026
WMB,81401052,119009534,130552801,135180387,184242720,150024681,106884105,175330931,139420265,137221931,131423933,132035542,144321431,174296847,150019536,142213996,211992284,185303277,154941739,219990518,175681058,218262750,176332072,143080158
WMT,69692684,110414265,130561477,90731584,130117580,134859408,100262054,174886446,122852846,108018377,127378355,151667100,116898368,138652720,208094056,157646467,170929925,272075714,142211450,185368469,162575143,164148268,238679891,177796882
WRB,13423174,20604055,20533826,28131780,28054608,38844150,39525283,41216535,26858607,25131971,23847114,28026196,30182168,23776406,23864802,27835339,28132921,35831055,35827069,23780070,17976067,16799058,13226829,13277242
WRK,34994273,96107474,51126918,46087031,57733281,59910156,35258329,59339404,54547991,33017625,34872888,46596723,42763343,47173734,36052864,27509089,47541924,60473120,38364152,67325380,47729992,45773480,44349230,39913719
