Ticker,Q1_NetIncome,Q2_NetIncome,Q3_NetIncome,Q4_NetIncome,Q5_NetIncome,Q6_NetIncome,Q7_NetIncome,Q8_NetIncome,Month1_Volume,Month2_Volume,Month3_Volume,Month4_Volume,Month5_Volume,Month6_Volume,Month7_Volume,Month8_Volume,Month9_Volume,Month10_Volume,Month11_Volume,Month12_Volume,OldestDataDate
CVS,1901000000,2136000000,2302000000,-3416000000,3029000000,2354000000,1306000000,1598000000,,,,,,,,,,,,,1999-12-31
CVX,6010000000,6574000000,6353000000,11231000000,11622000000,6259000000,5055000000,6111000000,,,,,,,,,,,,,1999-12-31
CZR,920000000,-136000000,-148000000,52000000,-123000000,-680000000,-434000000,-233000000,,,,,,,,,,,,,
D,599000000,997000000,-42000000,778000000,-453000000,711000000,1341000000,654000000,,,,,,,,,,,,,1999-12-31
DAL,1108000000,1827000000,-363000000,829000000,695000000,735000000,-940000000,-408000000,,,,,,,,,,,,,2007-06-29
DD,-131000000,257000000,4226000000,367000000,787000000,488000000,204000000,391000000,,,,,,,,,,,,,
DE,,,,,,,,,,,,,,,,,,,,,
DFS,901000000,968000000,1033000000,1006000000,1103000000,1242000000,1067000000,1091000000,,,,,,,,,,,,,2007-07-31
DG,468835000,514380000,659135000,526167000,678030000,552657000,597433000,487031000,,,,,,,,,,,,,2009-12-31
DGX,235000000,202000000,101000000,256000000,234000000,355000000,390000000,505000000,,,,,,,,,,,,,
