Ticker,Month1_Volume,Month2_Volume,Month3_Volume,Month4_Volume,Month5_Volume,Month6_Volume,Month7_Volume,Month8_Volume,Month9_Volume,Month10_Volume,Month11_Volume,Month12_Volume,Month13_Volume,Month14_Volume,Month15_Volume,Month16_Volume,Month17_Volume,Month18_Volume,Month19_Volume,Month20_Volume,Month21_Volume,Month22_Volume,Month23_Volume,Month24_Volume
FOXA,33605196,81068343,95044559,77212201,91329160,92614963,65461209,72530335,59040887,47852308,49518753,60640029,74355843,56390702,49104235,39551902,51845245,62103161,51121413,89590402,68201520,73551407,84655390,62821349
FRT,6551016,9526580,12448845,14241558,11654888,10524215,8796585,13426960,10350638,11851227,10969375,10909705,14882079,16523896,11746372,11716160,11967461,10911873,9036977,10427485,9865143,12819915,9692846,9053168
FSLR,29869047,36502936,43004210,43384571,34813001,71845723,45650106,75007077,31657401,46604871,67013407,59085341,69929048,67106713,67921586,47643680,32118295,26940891,27408673,53668964,29403982,28382754,26946176,36239720
FTNT,82426468,93444058,185319696,95093126,122893659,118563420,72294858,98944123,118196211,105936435,93354507,134081543,106854871,110319551,139605151,87876790,44927784,39200126,18648182,33620807,26678946,35179260,36655315,19874454
FTV,20249672,31038494,44763026,34625969,38323513,54457675,43055577,46866658,39576128,32665516,28928781,41021999,45339393,35881298,36796409,36033884,49602310,65685959,54223863,85467658,69573350,54964379,35557100,35913629
GD,18818988,19316173,21487863,26989173,20733097,28667063,23418160,29773640,19491409,26091132,17727360,21080394,23420847,23490685,21449137,19257225,28056971,35848763,24761839,44560976,28146874,24890525,22669461,18933467
GE,54873764,82324217,87845837,101086538,113837096,116241897,123636288,203723145,108606746,190635271,120803290,116012023,127840495,140146817,126771323,141243258,148748090,139716585,145401978,144188442,133238527,143888066,126315254,166581260
GEHC,26511224,68117917,60775189,60752652,105647772,43224670,37404992,45393714,43609663,,,,,,,,,,,,,,,
GEN,38203888,69125426,86940404,61653647,81114395,124696422,65227698,132529323,73156219,55306234,65127731,134623334,99265906,142928050,116765335,108849064,154354534,151258919,68006333,167639423,125542219,71827113,74970223,105505535
GILD,71679512,103713764,120546465,118610066,126515679,113405199,100907161,132321927,129061462,126113577,158185772,173749217,179369455,176966277,141400240,116401079,163050290,178172792,161860204,265745374,252356347,181263818,152790582,154118739
GIS,67574582,98475195,82913998,67497707,89365477,65868641,50462722,78026095,72091496,70741884,77604533,88398222,71510573,96088761,73798126,74211701,83500578,78279232,71072171,95777590,66511154,80037370,78710482,52715490
GL,6939954,10403445,9510298,8994820,11098074,11100574,12091947,13302567,9612844,10184494,12432721,13102390,12768895,13319837,8881351,10635093,11701461,10095429,10914342,15638004,11777013,10488452,11769288,11487822
GLW,45765873,63015539,71130216,91187633,114873653,97958697,94107901,94786550,75561677,100885567,73437536,84545671,123157051,108194821,88104262,90689621,107897581,111791522,107777825,113416510,83656340,122933550,85158073,84463779
GM,193806380,233855241,279995614,279523067,291852692,302752335,271539178,336059110,297975796,327651541,254856353,285044748,317696098,332686323,317584002,292487788,323818190,397146805,361094500,400938692,383817976,469659225,380175189,399118101
GNRC,12755391,23081013,46356362,24274265,28704952,24643451,19353748,25422002,31017649,27618014,42507152,45481327,57193420,35360998,20773206,15939716,24153926,26482992,19238196,13873686,18243122,20609921,19239117,16070961
GOOG,245432221,389661374,463648503,525559527,521483047,620306000,461168243,725590594,754465909,526177891,498585560,603456198,584705310,532842467,430922710,339525726,31358279,35869499,28022017,31811236,36609705,30699124,23950206,22120136
GOOGL,316002718,477625238,593521002,707114432,656884438,820529683,603728992,860049034,952709694,672897542,602717061,716537649,681653109,612908183,515791070,428144985,38543689,42514648,37720682,36383218,46381207,38092594,30992881,30278875
GPC,13005559,15914666,18020780,19649783,18666814,20457099,16390156,35629852,20132760,19551375,17166737,18390398,20144477,21720692,18402731,17055983,16427871,17167030,15084678,18927030,13389351,12633874,13915717,11982357
GPN,18063131,26426221,49884251,40690010,55848290,53282571,32794490,49556103,34020370,29255235,48708008,60091627,42287610,53830243,42376109,30336788,35415641,41249400,34624012,42554182,45269434,53305080,56907189,81159646
GRMN,7809000,14262873,15684264,17034706,14975966,17349139,13646334,19518105,18763269,22694394,18036352,17158816,24496117,23459784,18914559,26375652,17676564,18264888,18428442,34728850,25269112,22692965,19336484,18982865
GS,26806205,34255227,39258345,53395877,54501363,39783863,41785952,71667289,43627605,72603405,42482471,54130177,50064639,40867278,41440506,53587546,55861357,50820062,60210639,67748425,55105997,85701388,54077756,50659904
GWW,3590499,4358545,5225058,6257893,6055561,5584463,5648161,6412656,6324425,5502054,6108648,6108822,6651294,8677046,5876976,6862031,6070938,6644806,6238567,6639944,6418455,5571575,5001249,4553446
HAL,89618941,133365659,147932609,193879860,185938720,224482245,182618543,227099612,166691802,188007830,186537029,194360662,276590802,199637365,217699989,212244487,260272518,230909036,232683894,358036562,244273893,275812879,174868574,193382441
HAS,21560207,32240676,39958669,31929311,28746973,35294292,36561755,49252140,36253249,41522846,38004993,34960566,37834332,20362577,18152599,28548729,17693625,24915596,26515658,30979095,27119276,23000480,15703030,14008050
HBAN,195094984,278367821,235727205,267195295,302896433,367820725,292772682,730650994,214981171,301688358,337749960,297235070,464562593,419706816,227549473,253158021,271420294,268115084,288907813,265837813,218769778,316286744,218280967,190605679
HCA,16087487,26275976,23191763,30716826,26644466,25125685,29228579,26848984,21723176,30162000,20716815,27683197,37108982,31253170,24885899,35878508,50793473,40624125,46414148,36513920,25717344,35046838,30859246,26189034
HD,34169876,55810667,69785687,58388191,92369913,116522469,62435268,104357169,74571071,63001767,77732606,108648041,65952438,84349160,76503611,54068981,95093227,105291435,86568095,115319554,102999463,100905939,84855365,75939082
HES,22929901,37322515,31416294,38899089,35224522,34309131,29204324,44898654,34689043,34093947,30849175,43803358,46195125,45541818,32022006,39806651,62388141,49525978,40886140,71020582,57156467,67627525,41567502,37235002
HIG,23948023,24569596,26532710,29782992,33473669,38887062,32268925,73606000,35976915,31275045,30800564,35906506,39824385,36535218,41057428,37936718,37102304,47265684,38619498,55319474,41774154,35536240,33975740,34745191
HII,3639495,5148482,5476599,4883290,6662186,8838872,5337262,9238356,9853245,7242091,7112899,10444298,7384738,8713037,7354722,5370001,8121645,7653877,7938305,12710736,9106572,6466566,6081287,5915016
HLT,21276814,36619729,32684830,40714887,37290215,34565573,32591407,41762480,31002544,31163785,33593478,39176404,40960804,44591263,31985251,45591967,48577173,61652799,39885507,56800837,59022641,53028264,41033837,44982473
HOLX,21747598,33260055,44793477,33289248,31070265,34845576,22504444,30432121,29635088,39333117,29330194,34730423,36300894,33910710,31773036,32648559,36111142,50114103,42920535,33731085,32747890,36769581,31186975,36501422
HON,32505019,58333555,57011773,60740136,49943162,49961369,49133726,72915482,64432959,60453622,56547533,66415850,66548578,67531857,49525862,48146232,62757648,78766148,59236313,84709470,78244754,68940477,73937029,50250125
HPE,107281561,212161694,271888897,197561153,312164838,294593228,191061219,333868468,238511183,287730909,272145687,298111718,315167558,277752506,248444716,178676678,229080923,275769831,183216516,269875264,183525092,239441228,240442409,204812927
HPQ,116577172,186606547,140138109,105807564,195469495,157175928,110471147,170154877,108652149,111652838,136582727,197482212,163862957,238640417,195579250,152480547,220856867,250615104,341697853,442515128,180344093,189741342,247156894,205688477
HRL,49102742,45873599,42200178,35219317,48316717,50159115,40970170,59373629,27385025,34288802,37760035,34414765,36736548,40351366,27951230,24581168,42472428,38734379,35212534,49111121,37511649,48804678,52584093,39590167
HSIC,11335520,14438561,21023733,15370018,18530463,20315123,14438309,17696728,20346588,16856989,17915253,26969753,21160389,15816511,20068390,12992916,18515318,20149703,16166444,21661983,21045085,21414135,17933419,14294832
HST,69247950,129924817,209372371,102670596,143415240,170044061,93514639,179427656,154368109,141257459,137155438,136870952,173214683,196294149,156856838,129744364,220630079,210692017,164768876,206125622,176128939,152374093,160674826,167431471
HSY,20362135,27113368,27015433,26866247,24926600,23378835,17443568,23406910,22816435,20541548,16061011,24848533,18117140,18117071,16814126,18166792,23784755,27784231,21264860,23428364,21750837,20179834,16120949,18561973
HUBB,17454590,8284402,9331786,8886570,8527505,8733426,8454376,7804485,9692895,9654012,8779465,12942835,13828862,10883244,6480985,5339265,6455867,5688132,7092684,7895763,6370267,7805485,4119759,3997725
HUM,13684876,19317840,24471887,36305831,33562281,16469492,19364173,21390348,21770112,22503382,18175364,25365436,19185112,22263355,13055164,18654090,18144033,16020413,19539166,21777745,23896084,39985345,15131435,14661749
HWM,29307748,49028716,64296795,46374726,54906854,62348775,53612038,91197737,54952681,41756444,53210374,64199807,72134507,58683560,69754232,54725458,53340207,59413503,43640026,71022609,69522173,62199350,56987128,60248043
IBM,43183527,82806487,84274205,85778938,100722016,95710890,83664114,138093084,76080679,105576019,86426226,93620235,113480787,87256958,77392342,129801061,105815743,113207659,107525264,96447210,98492968,147238382,113930079,119252012
ICE,27837002,58021129,51546151,42687666,49222408,49189577,41838299,80688967,47432013,43385361,44532381,52996161,60127971,57339807,54651992,50651163,68207405,91226708,64905926,65684644,57135142,55327935,42724891,47233131
IDXX,6566404,8560625,9631601,10373003,9063397,8915487,7210488,8598296,10643296,11273804,8381299,11439822,9676700,11443923,12926073,10997748,13327194,19794957,10266207,11336838,10372296,11815611,7769680,7941072
IEX,5746172,8812225,11800702,12410917,11541622,10191485,7947542,7484827,8907666,7323881,7391273,7579559,10354214,10673150,7843354,8288906,6888361,10035615,9428945,10420773,11203761,7076074,7039834,5551191
IFF,25451374,36417404,60084054,48318763,45790063,44779948,27419561,45869864,51000039,37206810,38101183,34614736,39658119,37452816,23174466,19298339,28398675,29188663,29740828,37743891,36008824,31340323,26896619,26022723
ILMN,18423760,39297515,29685064,30094411,36984493,30215893,20626740,31935856,25049357,26224942,23927494,25438705,36906298,37472125,38766109,22575181,38373676,29499144,15349010,17655852,18605215,24518493,22700550,18126118
INCY,19768916,37569404,32386830,27149444,54552136,41225152,30615336,34102641,32919818,37808447,27954077,29158041,30503788,28527065,28637751,31946092,29581596,30418870,29573013,32068473,36928901,38496662,57592555,51258283
INTC,361620194,841416372,716172370,791861471,1065522382,967768584,728454261,1193689535,880351327,840843151,758549634,788939892,981086384,888333621,899196933,792971401,783410262,773074449,639104164,847764218,756444446,888939821,714225962,616336273
INTU,17862109,25868387,29909198,32114146,34935966,49555418,25689226,41494221,30780429,28364957,31906518,47582714,31806895,33639292,34209509,29593968,36362547,51920496,33202172,48063540,33852741,41523488,38785950,33933790
INVH,31394328,55152619,53107361,54646416,69265896,54344918,55985095,79324564,57557629,68697434,76015664,81643667,90730060,232454550,46758299,68759227,84077222,71999397,85395145,114231712,111284682,75783441,76870379,62237578
IP,33840427,59894494,56569981,69942848,76215103,69446395,51623483,71206939,61066743,66614800,61905105,69335007,81595594,82387241,54056807,57272280,68731529,67057995,50781647,87954300,65542485,72895897,93723117,60719367
IPG,51073829,72745863,77856252,121949605,104260282,111244252,88410264,89048599,66968098,57977664,62197048,67617348,88395042,64037402,58408477,66143200,77561602,73796605,67083698,100367747,83655788,74804586,75320486,66537576
IQV,14257558,23820259,18756378,19081062,21670768,27762573,21233571,28047704,17788317,15136962,17851699,19297021,27671964,22957709,18265132,18939020,25238343,22559450,25662474,23823162,26578248,19721843,16865524,19133738
