Ticker,Q1_NetIncome,Q2_NetIncome,Q3_NetIncome,Q4_NetIncome,Q5_NetIncome,Q6_NetIncome,Q7_NetIncome,Q8_NetIncome
EEFT,86100000,20100000,67757000,97722000,57300000,8200000,-3125000,73882000
UHAL-B,256838000,37737000,199244000,352015000,338345000,86747000,281466000,409898000
VSTS,,,,,,,,
BF-A,231000000,207000000,100000000,227000000,249000000,151000000,259000000,236000000
CWEN.A,,,,,,,,
HEI-A,102023000,105120000,93027000,97204000,82540000,85010000,86921000,86062000
LEN-B,1108996000,871694000,596534000,1322444000,1467344000,1320756000,503581000,1190491000
