Ticker,Market Cap,Exchange,Outstanding Shares,Q1_NetIncome,Q2_NetIncome,Q3_NetIncome,Q4_NetIncome,Q5_NetIncome,Q6_NetIncome,Q7_NetIncome,Q8_NetIncome,Month1_Volume,Month2_Volume,Month3_Volume,Month4_Volume,Month5_Volume,Month6_Volume,Month7_Volume,Month8_Volume,Month9_Volume,Month10_Volume,Month11_Volume,Month12_Volume,Month13_Volume,Month14_Volume,Month15_Volume,Month16_Volume,Month17_Volume,Month18_Volume,Month19_Volume,Month20_Volume,Month21_Volume,Month22_Volume,Month23_Volume,Month24_Volume
AM,6000772000,NYSE,479678000,87012000,86507000,82793000,84014000,79395000,80040000,78626000,89327000,29670560,50632494,39892550,42120991,47518063,59494418,47203904,58986781,63346946,59035612,61451927,55827254,60375573,78949553,57684539,82645677,87915137,71545786,67373045,91968931,77084542,72562677,77481072,48733754
AMBP,1601568000,NYSE,597600000,-10000000,-13000000,12000000,68000000,100000000,57000000,16000000,-178000000,14044722,17641648,19872295,21765970,29977106,30988096,37698295,44575425,27353840,28747614,45777816,35299249,26563573,46222995,30606666,27293209,53617991,53162308,17242190,28440011,20509025,25464953,29841877,17650306
AMC,1856621000,NYSE,198357000,8600000,-235500000,-287700000,-226900000,-121600000,-337400000,-134400000,-224200000,335929329,561080806,1228693001,784514515,361068944,351277223,608459043,647355317,960817251,593214672,660118336,557473205,473924406,548550863,1444932442,713187217,820467963,1068652828,708965850,1510514654,983320977,967231909,1192504060,723027068
AMED,3020184000,NASDAQ,32633000,-80275000,25246000,31717000,25642000,29579000,31671000,34047000,45006000,6339069,8356737,8724320,8707053,16687876,19226606,7910618,8717230,9291913,9061111,7609885,10076971,10938762,6886317,7169359,9256034,11334676,6889107,6410901,7162042,6466894,6688814,8452593,8313809
AMG,4387522000,NYSE,35046900,125300000,134500000,777900000,112600000,109400000,146000000,178400000,128400000,3580936,5073306,5557131,5733268,4773775,4989070,4123007,8257423,5724915,5602238,5897799,6799054,6001514,5773467,5869850,4247125,6065626,5129247,5324691,6247975,5137595,5240331,5718753,4273587
AMH,14042451000,NYSE,361366000,,,,,,,,,29171560,38146870,42709135,47592682,53249197,46282780,39478868,67278024,39681831,34843566,41029559,50128151,49245080,51559979,35537214,41699980,57111785,82385630,58529700,59802689,39713548,60806114,31441907,36483671
AN,5895772000,NYSE,44047600,272500000,288700000,286400000,352600000,376300000,362100000,387100000,361700000,7249787,10854297,11621585,16918544,13400203,11546219,12818759,18253202,16999294,14007895,18929147,16478799,25232889,22295573,13333267,15571547,14469223,18384848,24813855,16853089,16712616,16291599,22724135,17104554
APLS,5437095000,NASDAQ,117737000,-122037000,-177778000,-165991000,-191269000,-155977000,-138935000,-147933000,-195571000,39194571,55141632,121622370,137499366,38949274,33722301,35759618,37202684,44713538,21396215,20245486,41947272,26149768,32183123,28032491,26124850,18996430,23663564,20519321,34338536,13805860,20117271,17436119,32594931
APO,47267369000,NYSE,566891000,599000000,1010000000,584000000,-876000000,-2051000000,-870000000,244000000,258000000,37981485,42387167,56966001,36344370,61290645,56583672,35331674,98104605,50591199,41534275,44293007,60424573,49604829,59124469,50441843,38554545,81723100,80976103,51193127,91196661,65877074,103504790,84416739,48047968
APP,13397102000,NASDAQ,276633000,,,,,,,,,29777432,54783881,79201228,34102230,61515015,76043289,45502482,54577588,80019928,52726143,84075597,80786601,41475104,53873585,76251374,39252644,72378906,89619090,28453165,46939947,40770348,28179992,56154458,42567088
