Ticker,Month1_Volume,Month2_Volume,Month3_Volume,Month4_Volume,Month5_Volume,Month6_Volume,Month7_Volume,Month8_Volume,Month9_Volume,Month10_Volume,Month11_Volume,Month12_Volume,Month13_Volume,Month14_Volume,Month15_Volume,Month16_Volume,Month17_Volume,Month18_Volume,Month19_Volume,Month20_Volume,Month21_Volume,Month22_Volume,Month23_Volume,Month24_Volume
CVS,77332306,169634419,227233817,179469454,192888145,190058499,160104942,193866071,169295035,211005943,108700451,135809158,140702959,100573963,109602852,90959037,102044470,124651816,109498354,125765970,128038971,159788537,123610372,129760405
CVX,103522837,153218450,165280711,137360991,180550758,163295690,130898714,205948356,165052234,181801959,159618132,161691312,177679221,223317479,185467800,174441220,251807351,235020172,200072555,526661468,282783725,300049707,221128758,224686287
CZR,36090896,47628141,54230328,50349901,64107436,68618526,43554203,73800024,58636858,57245458,64959690,91327452,101299497,90190172,67069071,73851739,84113382,100376802,54992480,59980010,58419976,65374463,49951195,55401416
D,85445366,116297268,95908375,60866748,98360994,82162647,64278162,104761276,104784965,99110727,126776682,142603970,98498130,85748055,61220819,59093637,74586051,86037732,59257181,76386510,59671190,65691057,71529972,70342903
DAL,163394669,163816317,145306219,238162279,266456665,204209946,230884866,235319556,141084218,255054506,195058731,162837264,269243119,220569796,191355020,283767258,341279257,264798506,328734678,418288502,265642570,273755313,347009114,275856664
DD,31907605,41894846,54980383,56367336,83958731,76131534,55188220,80041976,54666038,60988565,50305285,83271381,59490155,67330399,59983927,54075361,64838640,71362914,51835191,70822109,64439999,55308020,57858000,77480370
DE,15760424,29843695,36084596,25748434,37321853,43977731,32713338,35427908,31497918,27401021,27995813,39255600,27649284,26945507,36222461,27834329,36494934,45898299,32327127,57827746,41985462,40250320,32998541,39733236
DFS,38365985,36635782,65090759,48173714,47762141,45502952,34439527,56434783,40600321,61755513,40673520,36920986,40011457,32985099,29939033,40726128,46687744,40646393,27865123,48323385,30459391,40421770,38654480,36776122
DG,66188541,108508711,63428091,46246755,107861265,41577160,30697298,49424483,35124592,43055193,50167461,33320555,34927869,36647862,36177402,31441091,38180591,55729334,37912350,48473831,38715715,46948549,44136131,30631625
DGX,10170678,15542637,16049780,16913597,20098114,20564854,20640115,30333026,22798824,20633986,22035553,24251884,23389646,19716825,18026096,16785989,17667547,22971410,23607395,27550868,26849485,26621096,24027099,26462694
DHI,34458620,51231682,62151334,64342019,61732392,60358306,65557853,74551544,55161462,53832841,56413246,63592379,63933538,70144097,47470210,72804895,94639274,74846791,79651488,80680886,79850843,81709955,68172338,56097039
DHR,44757134,49765599,44367188,71141992,60133028,77952614,65948367,55809080,46508195,58922232,43339731,57397832,67590278,51393418,40296544,45721714,49116267,59297194,60649715,58585200,51489001,76874405,54972199,57157868
DIS,147812434,319930810,377423405,320380674,282732867,334702686,156445196,196653778,252915943,228917669,301451458,427618373,180489304,209164018,294094092,196254179,241459562,322911294,273773815,224925323,250868699,269185309,250467355,348581552
DLR,22976402,42568583,45814500,56570767,72461024,63131373,56584922,65350132,33473417,39586299,41505398,42002986,53082812,43328805,29763193,29871018,37703807,31363380,28860173,30464219,42766563,29495855,27182765,25292910
DLTR,30062695,49724023,54819610,33823065,52773993,54561412,32373967,60812930,39230642,41778087,40093935,55188573,44112586,56608023,59574668,41630523,42866207,71355931,42528442,62173632,41662671,56382691,57066706,121824681
DOV,9544932,16221277,16222189,20198941,17675732,15950923,16296553,22675626,15137169,17197035,17136609,19387499,22540663,25542484,18462804,19268615,19372197,21377714,23314348,16763718,15895968,17320020,13992219,11967973
DOW,49528249,81903222,89058728,102444754,100080392,91429841,89102061,122457569,83742487,117397745,90661013,113775362,133264665,137680463,126788934,115612948,137162016,119790988,105541001,131446329,106338217,126100432,118930671,110804962
DPZ,11445447,9818348,9277369,16325409,13779340,12793550,13809928,20573121,17789178,12905332,9715082,13384818,19273608,17132433,11592600,12599602,10730887,11545756,11689445,11178121,8872187,11768463,7869955,9349092
DRI,15653620,25849494,23885700,21596395,29691090,30725303,21904209,35716475,21215890,22362386,25409189,21718572,27891276,28510966,20594778,24313559,30512762,25504979,21053740,40698786,21254278,22921636,26979830,23267317
DTE,22393481,29162736,22275897,19686322,37414865,21901601,21832577,32984214,24167745,18716158,27606832,34124687,47601695,27081889,19996667,15973434,20761783,25743655,18427720,26826799,24259871,18696367,20615604,22029514
DUK,46088041,77047241,64567294,48943794,66063651,64297712,53756172,76819096,54975798,54326800,63503758,70508957,76194712,53302400,56224313,44800207,60045445,66838641,54283409,61262776,64622195,62479928,64532278,55773209
DVA,25907576,16671967,15962583,11189208,12172652,17347176,9812702,15577640,14120062,11993125,13682277,19309511,20192930,14706348,16389675,16271882,30124817,16810571,11643183,16277520,13217608,12665681,19213817,19899965
DVN,131324451,197323889,175100541,151619362,185303318,186612913,138407243,255327644,241826537,146486872,190546814,243285848,205717254,256093927,281886774,200371639,311184316,275340135,179294730,338099608,256696317,279755850,231566708,218110041
DXCM,77913242,95263554,90470682,56813208,58640420,56160941,39021410,52157074,51808357,50519323,52296848,55354823,73576930,49032165,61627984,51991034,49516656,25489521,13274751,18993536,15947554,20084695,18223917,14039090
EA,24968361,46062851,50468268,42941624,41213609,50898983,36096907,50004384,69747022,37895059,34715173,44771399,36554772,41418101,44950196,31703350,55352782,76034760,40851300,38341052,45890942,56993050,49839532,64082151
EBAY,61673255,106487651,104405824,125858496,103537266,99429425,87694024,118452308,95455138,89424023,112024868,128483838,133932810,121267350,114995548,97880556,162138490,184919871,100804150,191660906,140300309,131425095,169519423,152338184
ECL,10987934,21408248,23844539,20123332,23284251,22442074,18293783,27703271,24871692,20372055,25373461,38488205,27394014,26691264,19845827,23451620,26357856,25222149,26368184,45567657,26963511,31214530,20634089,18503586
ED,30417539,35292465,39598026,34449646,40168903,44908347,29062048,48242507,35108436,33189147,33102845,39511016,40348214,32584842,31881116,33307798,38246470,41187376,35312233,37744578,39191982,62566303,47988148,45848636
EFX,9934060,12614960,18830011,24285446,16532310,13362524,15795769,15656406,16683979,16992896,14565100,24800152,25380775,14572813,12881006,13340362,17651957,22302739,27566752,19463868,24469025,23896684,14893730,14134633
EG,3311214,6755435,4610778,5526604,8260223,11902052,4372064,7764991,5646922,5110053,6114448,6796595,6927104,7194586,4469711,5166528,4928301,5011165,4738699,6479244,6219216,4781152,4993541,4522766
EIX,28206563,39764748,30135313,27009741,32563020,35801144,26405592,49637255,38137732,42774291,36112963,39718492,44528476,45046607,34099856,29298344,37322248,45664917,32188515,45125545,38855238,51168817,42825948,52518802
EL,21234470,40713701,72050512,45772035,52232767,66001274,24962232,27885516,31936708,28904683,35004691,54635281,39000758,30666501,27006911,21707302,33002413,45126598,27531550,37502247,29744460,34986428,23398064,28214478
ELV,16351401,21595761,19774888,32098411,32622458,20827723,23462900,27101528,19077803,25308611,19126258,26698029,22555153,18401212,16706559,19936809,23971451,26145079,22962691,31450818,20325161,24410415,22365928,22214461
EMN,10447180,17606006,18594120,19582169,19945396,17988542,18978914,24199255,16821026,23747590,18102185,21516483,21931281,33051459,17262100,18502742,27338709,19978551,22118561,33736608,17436104,30497349,27148445,18425548
EMR,32491910,52036677,62456416,44088488,64412919,66864770,71191756,78399528,70708365,76172856,70845924,79518267,69615688,61102429,56348571,49309526,65699904,72299562,53019955,85856572,69009138,60196592,61822098,66925034
ENPH,48616590,67005299,74658693,92459627,71789073,76468706,93956592,82205266,92859256,90691619,67467516,76335565,92892508,82409219,69141357,77056286,56018290,51478489,57976723,64956871,81577326,62565311,47221730,42549725
EOG,35949455,57493316,57873081,57189122,81705436,74347196,56627507,107472071,77958999,58244835,79499032,81165520,77454177,71603976,79943496,78264871,108449236,89764189,67907252,124633607,89020097,100750304,82704065,97668019
EPAM,4454476,8638462,10284299,9136997,18927069,15922618,7525997,11260595,9642343,6909727,6504309,9179252,8158509,7057195,11331827,7686363,12210746,22048280,13251680,50952801,24231302,12369732,27250114,6334791
EQIX,3907987,7176775,8138817,7207828,11008767,10707755,6612158,10118637,7200325,7349845,9157235,10939312,10085269,10514026,8143437,8396221,13190584,11140097,7673069,10101905,10056171,9059975,8698306,10487050
EQR,20927479,32035329,29083250,35858942,41759439,36380807,31382536,43273858,41138493,61053544,51436277,38949643,43799738,32999262,29080295,26782324,42707523,41647704,28395931,34077546,38210273,38705703,34561227,27736497
EQT,68830220,104130799,111144099,124426445,130624305,155551208,113339231,147223505,159543769,131828287,130753533,117602837,165180000,265665507,139910137,144383742,173449347,189975504,199579747,249191263,184272225,161957471,139258699,125239395
ES,43000996,50066093,44961308,40846888,46061823,44382667,29303806,49774683,31809497,29659703,30816257,34629626,38683308,34246028,30164549,27282067,32106003,35455624,26655406,50992647,47377306,31817104,27269538,24122775
ESS,4850889,8149989,7006772,9873029,9682625,7634398,6910779,12636351,11184862,10312130,10421850,13563112,12098332,8735847,7923074,8633694,10833913,10952936,5042899,8655875,6268452,6097634,7163631,5083826
ETN,25745397,46850415,42371172,38704765,47765281,46626475,37032387,53206884,37735105,32463980,30898365,41577273,43864933,38377858,31708815,31874220,39212594,54403315,38886114,43981145,44646550,39078131,35206137,31828510
ETR,23055807,24171946,35830711,31012074,41187539,25456500,21886749,29534162,29024597,33086372,26274729,27279171,25527619,23734888,23148541,17775303,26203687,24382893,23333309,25620464,25423258,27066486,21866326,28423613
ETSY,45099014,74282786,78601510,57994300,69831031,88272195,50198953,82310337,63350575,56344492,54738514,83559223,70121284,56105394,64149985,96204075,82696482,140651640,80338677,80229648,92269199,68171845,45539001,55704445
EVRG,29339928,38224131,34621190,20489330,27147129,24698569,21036475,34591809,25395504,28414370,42031494,62952406,27630232,22898280,19385948,19714135,30229610,24659415,20424122,30418486,39401992,31150223,21025224,26792882
EW,53137731,69234794,76134525,63265516,57486806,53633411,54916214,85134789,73164229,62777173,103525412,133360237,85029669,60312877,53388469,48582925,56160010,66219540,59796174,55693624,51470477,56554304,54318403,49882038
EXC,81279942,100631541,105984300,116815935,124843258,156305027,114854405,197102691,149929114,107909157,164360150,178605940,184296869,165646432,145107746,108528775,137985877,146610241,145841864,180634456,245428318,179807336,124352502,101379636
EXPD,14898150,21875841,20688289,16619602,25901251,31911520,19526195,31018346,28729230,29139833,28930368,41748738,27648896,34290397,24444264,24301702,26581135,36003454,31261788,31306924,26657891,27527050,24245154,26471649
EXPE,20920686,45320084,67790131,38998236,61117314,59094492,39579499,61415861,58128327,46706516,51589442,57151549,46744761,55169604,66122509,44604671,72159796,109260240,44853280,78280347,72966195,42799387,52827356,69840374
EXR,14327472,24980057,46583310,54766398,23647919,21295278,43674031,21797400,22463382,19759833,21228253,25522991,16247258,18293330,15660874,8474826,15330225,18762085,12041372,17184835,13226707,15184589,13950577,14783093
F,575006898,920815270,1042520016,1170695260,1251191738,1395646011,1054299630,1809438601,1379035149,1101986533,1116350742,1037763587,1433732660,1619727852,1455374340,1247848605,1143903229,1359365004,1338949626,1747233463,1819363112,2903762712,1850349357,2273646809
FANG,30640541,38759790,42247322,39409786,38717402,43732774,34386189,61680921,49065109,38742980,62243085,56069087,47748864,49508456,61617561,48861342,77066530,66379245,37977837,69636379,55716484,59373698,52216419,69830428
