Ticker,Month1_Volume,Month2_Volume,Month3_Volume,Month4_Volume,Month5_Volume,Month6_Volume,Month7_Volume,Month8_Volume,Month9_Volume,Month10_Volume,Month11_Volume,Month12_Volume,Month13_Volume,Month14_Volume,Month15_Volume,Month16_Volume,Month17_Volume,Month18_Volume,Month19_Volume,Month20_Volume,Month21_Volume,Month22_Volume,Month23_Volume,Month24_Volume
AIG,38489502,59680895,62696499,64124303,88380596,92714739,71421662,166336294,95366823,75739553,103412347,99452343,93509668,113020753,88027688,80583708,126723543,124166575,80124862,114827899,101751375,110570352,101825399,99202237
AIZ,3657518,6862739,7550568,6655975,9472139,8926197,7426364,11480609,7890308,7580423,10440849,15075325,10513081,8216814,10202410,7194385,10946944,11613322,7389097,9006955,11292905,11727319,9238055,7420415
AJG,8504092,15930059,14633371,14439307,19333631,19763293,17909954,26581258,15150520,14119615,14512774,19375475,20769248,22807742,19182059,13832023,19031532,19973672,20159543,21965211,17764996,23004484,19286956,18758958
AKAM,16292322,41992197,42762201,21939338,30342848,35383285,23984332,43698759,38557782,23695566,28712007,34998118,33014322,31949991,30439091,34042792,34128815,52730525,24191089,37168572,36383151,27779370,25166547,34688173
ALB,32286704,36261790,41443943,34566874,37539088,53544451,53727715,39581835,34809000,30229666,29848118,32466142,30239136,28807509,30740169,20026168,32254003,35088206,18156982,22387457,28151415,20747768,23130438,24364902
ALGN,9149649,12786579,11722529,19574338,13780621,15301261,14945770,22279207,23923418,19861356,20341385,22632091,23843246,19460007,15675854,18987387,24996272,25625419,19186780,19684669,17490685,20096475,11370278,11002346
ALK,31177791,38489611,33907779,43653688,29628973,30042020,38249019,42850641,21463794,30931856,29201651,24735231,34900618,33718614,27569398,33096894,39478667,38508136,41832640,56163791,38269672,40681160,42859955,38646044
ALL,21807089,35185735,34814421,37097044,43172511,43304082,32417015,54984796,32609075,33080776,30557868,33295293,49735401,38335490,36227999,40043250,36219055,39748576,34370596,51868121,56711970,45140106,44705188,55359153
ALLE,6981872,13327350,17807226,17208676,17353760,13637681,19225595,20265296,15562806,11052002,11265969,14069899,16603447,19145167,14311191,12128431,17119445,15018674,16783738,16090584,17976076,13396191,11939162,11975412
AMAT,69992823,109704009,118645698,127151975,116841988,133483678,111415728,160485505,130322556,117570971,128013759,176525283,212183579,147536174,160510544,135497660,167028326,178596582,172756957,165798230,160778153,203367300,147624969,160189211
AMCR,93396798,138541126,165690306,137354296,161174653,184732340,143456479,176673702,184078629,143241385,144959550,167626159,166058828,154490645,202087738,192005035,207840793,326528336,165198729,189333042,188709918,142815360,144283307,125690564
AMD,665138903,1044530220,1573690096,1142100773,1543262982,1762795163,894895972,1656333033,1145873205,1081467156,1149724787,1681597389,1961654845,1676527449,1800209702,1633449957,2031197788,2897833067,1717398548,2458597564,2293240492,1637852102,1175268948,1371740461
AME,10449670,22608473,17243493,17961613,19945675,21667119,20144777,23889265,20852922,18954135,17896252,21753786,25789502,21635098,21011269,18132672,23355499,26874399,21070367,23840986,20786237,19354307,18077712,21858956
AMGN,36212187,47065406,56925163,51881544,58521816,50819770,37027620,59935365,52525179,43433169,56301917,64905914,55949424,56755895,58952937,51623723,76166654,70035889,59137209,72435888,68310734,56317621,64408481,64333763
