Ticker,Market Cap,Exchange,Outstanding Shares,Q1_NetIncome,Q2_NetIncome,Q3_NetIncome,Q4_NetIncome,Q5_NetIncome,Q6_NetIncome,Q7_NetIncome,Q8_NetIncome,Month1_Volume,Month2_Volume,Month3_Volume,Month4_Volume,Month5_Volume,Month6_Volume,Month7_Volume,Month8_Volume,Month9_Volume,Month10_Volume,Month11_Volume,Month12_Volume,Month13_Volume,Month14_Volume,Month15_Volume,Month16_Volume,Month17_Volume,Month18_Volume,Month19_Volume,Month20_Volume,Month21_Volume,Month22_Volume,Month23_Volume,Month24_Volume
RGLD,7296044000,NASDAQ,65689000,63449000,63875000,56373000,45792000,71140000,65675000,68163000,70176000,5191310,6539657,8893752,8524525,9947242,7553993,10037592,12115488,8366451,9117437,10244897,9783326,8740728,10555612,12358392,9945304,12236041,10951479,10574498,14515638,10400382,12964767,10513193,10019569
RH,4414024000,NYSE,18400200,76477000,41890000,106896000,98760000,122275000,200711000,147045000,184099000,9773183,22994409,13316718,16658283,16607373,19522296,13931266,23184780,12530430,14674396,18481822,13841348,12343848,16496019,12905207,15619165,22137060,22002506,25671495,22460258,8634175,14255523,12280924,7414048
RITM,4441720000,NYSE,483321000,379796000,91249000,104165000,146883000,19149000,684322000,182931000,161680000,,,,,,,,,,,,,,,,,,,,,,,,
RIVN,18299023000,NASDAQ,940311000,-1195000000,-1349000000,-1723000000,-1724000000,-1712000000,-1593000000,-2461000000,-1233000000,808077435,496721942,778331524,1746493137,709830951,522201675,408858093,937563194,431915900,618961048,370192562,268515798,339533905,438847461,341229338,314021335,334843612,616440701,300613681,477898064,342861212,377801314,284371118,
RKT,14765639000,NYSE,138400000,7438000,-18523000,-17616000,6910000,3415000,53712000,48051000,75337000,,,,,,,,,,,,,,,,,,,,,,,,
RLI,6136793000,NYSE,45596200,77652000,98811000,97834000,439893000,-2239000,47923000,95284000,29243000,1972852,3230627,3920173,4574477,9223994,4147448,5859580,5369596,3555143,3743353,3739648,4118795,3996655,2847270,2489941,3199945,3616143,4189106,3242971,3382645,2626683,2873627,2820883,2216243
RNG,2725970000,NYSE,84760000,-21482000,-54399000,-284063000,-284616000,-159515000,-150972000,-118357000,-146751000,10575261,21050263,40125165,25275209,24553234,63513747,27349757,55634912,50310130,23539763,40597972,55181263,40066146,37953433,64987394,33555079,44275476,48515363,21280419,28258424,27843500,21211889,32018246,31130232
RNR,11185204000,NYSE,51182000,199869000,572906000,456936000,-816501000,-316069000,-385569000,219760000,-440377000,,,,,,,,,,,,,,,,,,,,,,,,
ROIV,7855314000,NASDAQ,779297000,-291816000,-33617000,-352014000,-291590000,-331809000,-270062000,-284536000,-208481000,79971202,144277513,75228270,109689338,132009074,59527842,55624113,78360476,49720272,52957122,51587497,32460364,28028929,16863247,19239232,18129957,23061124,19804652,9298794,10620119,4818174,6599017,32366421,8398066
ROKU,8841420000,NASDAQ,124089000,-107595000,-193604000,-237195000,-122183000,-112321000,-26306000,23687000,68935000,,,,,,,,,,,,,,,,,,,,,,,,
RPM,12162652000,NYSE,128828000,201082000,151360000,26974000,131344000,169013000,199005000,33019000,124875000,12362750,10448470,13145269,14978135,11757470,13185117,15157181,14989615,8780176,15163160,11385815,10509828,16214305,11810854,10633137,12701198,14489812,10185555,14392434,14710722,9396049,15161452,9623394,9147123
RPRX,16526058000,NASDAQ,448927000,227625000,340755000,-456084000,142651000,304504000,51761000,7904000,101929000,30454128,50745704,46335296,37072331,63769572,51110915,24868408,51112551,39873467,28400583,30063091,31644327,31685515,40790716,37966147,37194458,50812513,44212986,57094944,33983099,29581384,35719184,38639634,61794417
RRC,8384569000,NYSE,241352000,30231000,481447000,814236000,373087000,452855000,-456808000,891366000,-350267000,,,,,,,,,,,,,,,,,,,,,,,,
RRX,8614515000,NYSE,66311000,32100000,-5900000,101500000,119800000,142000000,125600000,-4800000,79800000,5541528,6855924,7341360,7927565,8634424,9169936,7169161,10539554,9825041,10006996,12889807,14130382,14837593,10872859,6902106,6117258,8377914,8704291,10003841,9734646,10890491,10244540,7028123,9053611
RS,14656843000,NYSE,58557000,385100000,383100000,350500000,393500000,572800000,523300000,421300000,395700000,,,,,,,,,,,,,,,,,,,,,,,,
RUN,2297796000,NASDAQ,217183000,55474000,-240388000,63021000,210560000,-12426000,-87778000,-38519000,24129000,188443660,166717433,232890737,188136877,162191793,234702867,160361014,270422799,152861340,135058630,111031950,185125390,176833850,137676577,187216644,165456792,146925048,180361888,132101242,145167829,155259754,153406569,138382482,85667493
RYAN,12308264000,NYSE,116453000,30078000,13160000,17895000,11745000,24501000,6911000,-5730000,-1334000,8309505,11947075,17514149,11168821,14436070,20171731,7753025,21367142,9134556,10986480,14605216,29161074,12415348,12979709,9579529,10501416,15670911,13312504,8096896,15564132,6020013,9317231,9077623,8166343
RYN,3889040000,NYSE,148269000,19023000,8300000,33078000,20578000,24104000,29317000,8665000,75831000,,,,,,,,,,,,,,,,,,,,,,,,
S,4878621000,NYSE,242180000,-89538000,-106869000,-93680000,-98858000,-96306000,-89834000,-71709000,-68595000,64377682,128178989,204487630,126406853,277675187,137750897,122937944,163623758,87089815,107789619,100632106,89797853,60584537,58053953,56325314,56355645,111825874,79031000,65110496,145339641,71770467,79782637,111513722,41758802
SAIA,10108396000,NASDAQ,26535400,91319000,76097000,70862000,97891000,109245000,79424000,73761000,79709000,,,,,,,,,,,,,,,,,,,,,,,,
SAIC,5898592000,NYSE,52935000,247000000,98000000,74000000,80000000,73000000,73000000,43000000,71000000,4810807,9448783,6386128,5178438,8056837,6380589,6827579,6675639,4927981,5880071,9760775,6005306,5670395,10085934,6512082,5081253,8998758,6063662,6993748,12382465,7314137,7634789,9202431,4463213
SAM,4545073000,NYSE,10167700,58035000,-8956000,-11417000,27286000,53349000,-1955000,-51785000,-58421000,1671247,1868736,2222799,3689055,2291538,2568282,2330371,2859294,4150660,2526919,1929974,3007812,4441675,2446339,2579363,4434588,3679311,3250097,3258210,2988042,4176248,5702376,4904839,5572766
SCCO,54797890000,NYSE,773108000,547500000,813200000,902400000,519000000,432300000,784700000,832900000,867600000,,,,,,,,,,,,,,,,,,,,,,,,
